"Meng, Grace (D-NY)",House,"$2,500"
"Neguse, Joseph (D-CO)",House,"$2,500"
"Obama, Barack (D)",Pres,"$2,500"
"Slaughter, Louise M (D-NY)",House,"$2,500"
"Small, Xochitl Torres (D-NM)",House,"$2,500"
"Watson, Liz (D-IN)",House,"$2,500"
"De Leon, Kevin (D-CA)",Senate,"$2,250"
"Casey, Bob (D-PA)",Senate,"$2,118"
"Kelly, Brendan (D-IL)",House,"$2,021"
"Hirono, Mazie K (D-HI)",Senate,"$2,010"
"Carper, Tom (D-DE)",Senate,"$2,000"
"DeLauro, Rosa L (D-CT)",House,"$2,000"
"Engel, Eliot L (D-NY)",House,"$2,000"
"Kelly, Robin (D-IL)",House,"$2,000"
"King, Angus (I-ME)",Senate,"$2,000"
"Moore, Gwen (D-WI)",House,"$2,000"
"Soto, Darren (D-FL)",House,"$2,000"
"Wallace, Scott (D-PA)",House,"$2,000"
"Yarmuth, John A (D-KY)",House,"$2,000"
"Murray, Patty (D-WA)",Senate,"$13,391"
"Blumenthal, Richard (D-CT)",Senate,"$9,999"
"Schumer, Charles E (D-NY)",Senate,"$9,000"
"Leahy, Patrick (D-VT)",Senate,"$7,500"
"Schatz, Brian (D-HI)",Senate,"$7,500"
"Wyden, Ron (D-OR)",Senate,"$7,500"
"Sanders, Bernie (D-VT)",Senate,"$5,045"
"Bennet, Michael F (D-CO)",Senate,"$4,400"
"Markey, Ed (D-MA)",Senate,"$20,250"
"Franken, Al (D-MN)",Senate,"$16,549"
"Shaheen, Jeanne (D-NH)",Senate,"$15,999"
"Udall, Mark (D-CO)",Senate,"$14,200"
"Hagan, Kay R (D-NC)",Senate,"$12,811"
"Begich, Mark (D-AK)",Senate,"$11,000"
"Merkley, Jeff (D-OR)",Senate,"$10,999"
"Warner, Mark (D-VA)",Senate,"$10,057"
"Coons, Chris (D-DE)",Senate,"$9,500"
"Durbin, Dick (D-IL)",Senate,"$9,500"
"Udall, Tom (D-NM)",Senate,"$9,500"
"Walsh, John (D-MT)",Senate,"$8,999"
"Booker, Cory (D-NJ)",Senate,"$8,482"
"Reed, Jack (D-RI)",Senate,"$6,000"
"Schatz, Brian (D-HI)",Senate,"$5,000"
