"Abraham, Ralph",RepAbraham
"Garcia, Sylvia",RepSylviaGarcia
"Gardner, Cory",SenCoryGardner
"Gianforte, Greg",#VALUE!
"Gibbs, Bob",RepBobGibbs
"Gillibrand, Kirsten",SenGillibrand
"Gohmert, Louie",replouiegohmert
"Golden, Jared",RepGolden
"Gomez, Jimmy",RepJimmyGomez
"Gonzalez, Anthony",RepAGonzalez
"Gonzalez, Vincente",VoteVincente
"Gonzalez-Colon, Jenniffer",Jenniffer2012
"Gooden, Lance",RepLanceGooden
"Gosar, Paul",RepGosar
"Gottheimer, Josh",JoshGottheimer
"Graham, Lindsey",GrahamBlog
"Granger, Kay",RepKayGranger
"Grassley, Chuck",ChuckGrassley
"Graves, Garret",RepGarretGraves
"Graves, Sam",RepSamGraves
"Graves, Tom",RepTomGraves
"Green, Al",RepAlGreen
"Green, Mark",RepMarkGreen
"Griffith, Morgan",RepMGriffith
"Grijalva, Raul",RepRaulGrijalva
"Grothman, Glenn",RepGrothman
"Guest, Michael",RepMichaelGuest
"Guthrie, Brett",RepGuthrie
"Haaland, Debra",RepDebHaaland
"Hagedorn, Jim",RepHagedorn
"Harder, Josh",RepJoshHarder
"Harris, Andy",RepAndyHarrisMD
"Harris, Kamala",SenKamalaHarris
"Hartzler, Vicky",RepHartzler
"Hassan, Maggie",SenatorHassan
"Hastings, Alcee",RepHastingsFL
"Hatch, Orrin",SenOrrinHatch
"Hayes, Jahana",RepJahanaHayes
"Heck, Denny",RepDennyHeck
"Heinrich, Martin",MartinHeinrich
"Heitkamp, Heidi",SenatorHeitkamp
"Heller, Dean",SenDeanHeller
"Hern, Kevin",RepKevinHern
"Herrera Beutler, Jaime",HerreraBeutler
"Hice, Jody",CongressmanHice
"Higgins, Brian",RepBrianHiggins
"Higgins, Clay",CaptClayHIggins
"Hill, French",RepFrenchHill
"Hill, Katie",RepKatieHill
"Himes, Jim",jahimes
"Hirono, Mazie",maziehirono
"Hoeven, John",SenJohnHoeven
"Holding, George",GeorgeHolding
"Hollingsworth, Trey",VoteForTrey
"Horn, Kendra",RepKendraHorn
"Horsford, Steven",RepHorsford
"Houlahan, Chrissy",RepHoulahan
"Hoyer, Steny H",WhipHoyer
"Hudson, Richard",RepRichHudson
"Huffman, Jared",RepHuffman
"Huizenga, Bill",RepHuizenga
"Hunter, Duncan D",Rep_Hunter
"Hurd, Will",HurdOnTheHill
"Hyde-Smith, Cindy",SenHydeSmith
"Inhofe, Jim",jiminhofe
"Isakson, Johnny",SenatorIsakson
"Jackson Lee, Sheila",JacksonLeeTX18
"Jayapal, Pramila",PramilaJayapal
"Jeffries, Hakeem",RepJeffries
"Johnson, Bill",RepBillJohnson
"Johnson, Dusty",RepDustyJohnson
"Johnson, Eddie Bernice",RepEBJ
"Johnson, Henry",RepHankJohnson
"Johnson, Mike",RepMikeJohnson
"Johnson, Ron",SenRonJohnson
"Jomes, Doug",SenDougJones
"Jones, Walter",RepWalterJones
"Jordan, Jim",Jim_Jordan
"Joyce, David",RepDaveJoyce
"Joyce, John",RepJohnJoyce
"Kaine, Tim",timkaine
"Kaptur, Marcy",RepMarcyKaptur
"Katko, John",RepJohnKatko
"Keating, William",USRepKeating
"Kelly, Mike",MikeKellyforPA
"Kelly, Robin",RepRobinKelly
"Kelly, Trent",RepTrentKelly
"Kennedy, Joe III",RepJoeKennedy
"Kennedy, John",SenJohnKennedy
"Khanna, Ro",RoKhannaUSA
"Kildee, Daniel",RepDanKildee
"Kilmer, Derek",RepDerekKilmer
"Kim, Andy",RepAndyKimNJ
"Kind, Ron",RepRonKind
"King, Angus",SenAngusKing
"King, Pete",RepPeteKing
"King, Steve",SteveKingIA
"Kinzinger, Adam",RepKinzinger
"Kirkpatrick, Ann",RepKirkPatrick
"Klobuchar, Amy",amyklobuchar
"Krishnamoorthi, Raja",RajaForCongress
"Kuster, Ann",RepAnnieKuster
"Kustoff, David",DavidKustoff
"Kyl, Jon",SenJonKyl
"LaHood,Darin",ElectLaHood
"LaMalfa, Doug",RepLaMalfa
"Lamb, Conor",RepConorLamb
"Lamborn, Doug",RepDLamborn
"Langevin, Jim",jimlangevin
"Lankford, James",SenatorLankford
"Larsen, Rick",RepRickLarsen
"Larson, John",RepJohnLarson
"Latta, Robert E",boblatta
"Lawrence, Brenda",RepLawrence
"Lawson, Al",AlLawsonJr
"Leahy, Patrick",SenatorLeahy
"Lee, Barbara",RepBarbaraLee
"Lee, Mike",SenMikeLee
"Lee, Susie",RepSusieLee
"Lesko, Debbie",RepDLesko
"Levin, Mike",RepMikeLevin
"Levin, Sander",repsandylevin
"Lewis, John",repjohnlewis
"Lieu, Ted",RepTedLieu
"Lipinski, Daniel",RepLipinski
"Loebsack, David",daveloebsack
"Lofgren, Zoe",RepZoeLofgren
"Long, Billy",USRepLong
"Loudermilk, Barry",RepLoudermilk
"Lowenthal, Alan",RepLowenthal
"Lowey, Nita",NitaLowey
"Lucas, Frank",RepFrankLucas
"Luetkemeyer, Blaine",RepBlainePress
"Lujan, Ben R",repbenraylujan
"Luria, Elaine",RepElaineLuria
"Lynch, Stephen",RepStephenLynch
"Malinowski, Tom",RepMalinowski
"Maloney, Carolyn B",RepMaloney
"Maloney, Sean Patrick",RepSeanMaloney
"Manchin, Joe",Sen_JoeManchin
"Marchant, Kenny",RepKenMarchant
"Marino, Tom",#VALUE!
"Markey, Ed",senmarkey
"Marshall, Roger",RogerMarshallMD
"Massie, Thomas",RepThomasMassie
"Mast, Brian",BrianMastFL
"Matsui, Doris O",DorisMatsui
"McAdams, Ben",RepBenMcAdams
"McBath, Lucy",RepLucyMcBath
"McCarthy, Kevin",GOPLeader
"McCaskill, Claire",clairecmc
"McCaul, Michael",RepMcCaul
"McClintock, Tom",RepMcClintock
"McCollum, Betty",BettyMcCollum04
"McConnell, Mitch",SenateMajLdr
"McEacchin, Donald",Donald_McEachin
"McGovern, James",RepMcGovern
"McHenry, Patrick",PatrickMcHenry
"McKinley, David",RepMcKinley
"McMorris Rodgers, Cathy",cathymcmorris
"McNerney, Jerry",RepMcNerney
"Meadows, Mark",RepMarkMeadows
"Meeks, Gregory",GregoryMeeks
"Menendez, Bob",SenatorMenendez
"Meng, Grace",RepGraceMeng
"Merkley, Jeff",SenJeffMerkley
"Meuser, Daniel",RepMeuser
"Miller, Carol",RepCarolMiller
"Mitchell, Paul",PaulMitchell4us
"Moolenaar, John",RepMoolenaar
"Mooney, Alex",RepAlexMooney
"Moore, Gwen",RepGwenMoore
"Moran, Jerry",JerryMoran
"Morelle, Joseph",RepJoeMorelle
"Moulton, Seth",teammoulton
"Mucarsel-Powell, Debbie",RepDMP
"Mullin, Markwayne",RepMullin
"Murkowski, Lisa",lisamurkowski
"Murphy, Christopher",ChrisMurphyCT
"Murphy, Stephanie",SMurphyCongress
"Murray, Patty",PattyMurray
"Nadler, Jerrold",RepJerryNadler
"Napolitano, Grace",gracenapolitano
"Neal, Richard E.",RepRichardNeal
"Neguse, Joe",RepJoeNeguse
"Nelson, Bill",SenBillNelson
"Newhouse, Dan",RepNewhouse
"Norcross, Donald",DonNorcross4NJ
"Norman, Ralph",RepRalphNorman
"Norton, Eleanor",EleanorNorton
"Nunes, Devin",Rep_DevinNunes
"Ocasio-Cortez, Alexandria",RepAOC
"Olson, Pete",PeteOlson
"Omar, Ilhan",Ilhan
"O’Halleran, Tom",TomOHalleran
"Palazzo, Steven",CongPalazzo
"Pallone, Frank Jr",FrankPallone
"Palmer, Gary",USRepGaryPalmer
"Panetta, Jimmy",JimmyPanetta
"Pappas, Chris",RepChrisPappas
"Pascrell Jr., Bill",BillPascrell
"Paul, Rand",RandPaul
"Payne Jr., Donald",RepDonaldPayne
"Pelosi, Nancy",NancyPelosi
"Pence, Greg",RepGregPence
"Perdue, David",SenDavidPerdue
"Perlmutter, Ed",RepPerlmutter
"Perry, Scott",RepScottPerry
"Peters, Gary",SenGaryPeters
"Peters, Scott",RepScottPeters
"Peterson, Collin",collinpeterson
"Phillips, Dean",RepDeanPhillips
"Pingree, Chellie",chelliepingree
"Pittenger, Robert",reppittenger
"Plaskett, Stacey",StaceyPlaskett
"Pocan, Mark",repmarkpocan
"Porter, Katie",RepKatiePorter
"Portman, Rob",SenRobPortman
"Posey, Bill",congbillposey
"Pressley, Ayanna",RepPressley
"Price, David",RepDavidEPrice
"Quigley, Mike",RepMikeQuigley
"Radewagen, Amata",RepAmata
"Raskin, Jamie",Jamie_Raskin
"Ratcliffe, John",RepRatcliffe
"Reed, Jack",SenJackReed
"Reed, Tom",RepTomReed
"Reschenthaler, Guy",GReschenthaler
"Rice, Kathleen",RepKathleenRice
"Rice, Tom",RepTomRice
"Richmond, Cedric",RepRichmond
"Riggleman, Denver",RepRiggleman
"Risch, Jim",SenatorRisch
