"Fischer, Deb","$4,486,884"
"Fitzpatrick, Brian","$3,383,111"
"Flake, Jeff","$3,471,003"
"Fleischmann, Chuck","$1,254,808"
"Flores, Bill","$1,327,333"
"Fortenberry, Jeff","$762,133"
"Foster, Bill","$2,581,423"
"Foxx, Virginia","$2,338,916"
"Frankel, Lois J","$977,130"
"Frelinghuysen, Rodney","$1,202,701"
"Fudge, Marcia L","$763,204"
"Gabbard, Tulsi","$1,392,546"
"Gaetz, Matt","$1,278,061"
"Gallagher, Mike","$2,817,156"
"Gallego, Ruben","$1,026,852"
"Garamendi, John","$1,107,347"
"Gardner, Cory","$1,923,024"
"Garrett, Tom","$548,211"
"Gianforte, Greg","$9,575,312"
"Gibbs, Bob","$1,055,843"
"Gillibrand, Kirsten","$17,565,228"
"Gohmert, Louis B Jr","$815,817"
"Gomez, Jimmy","$1,549,676"
"Gonzalez, Jenniffer","$401,679"
"Gonzalez, Vicente","$1,310,241"
"Goodlatte, Bob","$436,876"
"Gosar, Paul","$580,004"
"Gottheimer, Josh","$6,830,942"
"Gowdy, Trey","$2,053,085"
"Graham, Lindsey","$3,923,328"
"Granger, Kay","$2,061,482"
"Grassley, Chuck","$334,308"
"Graves, Garret","$2,446,336"
"Graves, Sam","$1,695,130"
"Graves, Tom","$2,049,326"
"Green, Al","$560,387"
"Green, Gene","$467,573"
"Griffith, Morgan","$1,163,574"
"Grijalva, Raul M","$697,815"
"Grisham, Michelle Lujan","$1,676"
"Grothman, Glenn S","$1,988,833"
"Guthrie, Brett","$1,966,246"
"Gutierrez, Luis V","$90,350"
"Hanabusa, Colleen","-$80,633"
"Handel, Karen","$8,685,780"
"Harper, Gregg","$297,220"
"Harris, Andy","$1,666,394"
"Harris, Kamala","$7,684,133"
"Hartzler, Vicky","$1,248,453"
"Hassan, Maggie","$1,267,919"
"Hastings, Alcee L","$789,051"
"Hatch, Orrin G","$2,027,683"
"Heck, Dennis","$1,605,024"
"Heinrich, Martin","$6,349,353"
"Heitkamp, Heidi","$29,038,046"
"Heller, Dean","$12,549,916"
"Hensarling, Jeb","$795,813"
"Hern, Kevin","$2,807,162"
"Hice, Jody","$652,368"
"Higgins, Brian M","$1,077,931"
"Higgins, Clay","$894,438"
"Hill, French","$2,934,564"
"Himes, Jim","$2,005,608"
"Hirono, Mazie K","$3,227,785"
"Hoeven, John","$369,843"
"Holding, George","$2,867,344"
"Hollingsworth, Trey","$1,471,588"
"Hoyer, Steny H","$4,114,261"
"Hudson, Richard","$2,447,285"
"Huffman, Jared","$928,167"
"Huizenga, Bill","$2,136,543"
"Hultgren, Randy","$2,218,154"
"Hunter, Duncan D","$1,171,872"
"Hurd, Will","$5,129,916"
"Hyde-Smith, Cindy","$5,161,798"
"Inhofe, James M","$835,705"
"Isakson, Johnny","$807,873"
"Issa, Darrell","$1,582,171"
"Jackson Lee, Sheila","$727,312"
"Jayapal, Pramila","$2,198,056"
"Jeffries, Hakeem","$1,740,870"
"Jenkins, Evan","$1,305,531"
"Jenkins, Lynn","$9,559"
"Johnson, Bill","$1,878,827"
"Johnson, Eddie Bernice","$511,780"
"Johnson, Hank","$481,257"
"Johnson, Mike","$1,186,685"
"Johnson, Ron","$829,595"
"Johnson, Sam","$1,259"
"Jones, Brenda","$269,837"
"Jones, Doug","$25,029,180"
"Jones, Walter B Jr","$587,112"
"Jordan, Jim","$1,239,307"
"Joyce, David P","$2,563,184"
"Kaine, Tim","$16,582,756"
"Kaptur, Marcy","$772,003"
"Katko, John","$2,760,682"
"Keating, Bill","$1,214,380"
"Kelly, Mike","$2,566,019"
